"","code","name","type","ug.etc.total","pg.etc.total","total.students","full.time.total","part.time.total","total.staff","total.by.total","ug.by.fulltime"
"1",15,"Jawaharlal Nehru Technological University, Kakinada","State Public University ",0,300,300,12,33,45,6.66666666666667,0
"2",17,"Jawaharlal Nehru Technological University, Hyderabad","State Public University ",1682,0,1682,19,16,35,48.0571428571429,88.5263157894737
"3",18,"Jawarharlal Nehru Architecture and Fine Art University Hyderabad","State Public University ",272,258,530,15,12,27,19.6296296296296,18.1333333333333
"4",19,"Kakatiya University, Warangal","State Public University ",1018,0,1018,19,14,33,30.8484848484848,53.5789473684211
"5",20,"Koneru Lakshmaiah Education Foundation,Guntur","Deemed University-Private ",1878,0,1878,56,64,120,15.65,33.5357142857143
"6",21,"Krishna University, Machhlipattanam","State Public University ",626,0,626,25,0,25,25.04,25.04
"7",22,"Mahatma Gandhi University, Nalgonda","State Public University ",61,5,66,5,1,6,11,12.2
"8",23,"Maulana Azad National Urdu University, Hyderabad","Central University ",1516,0,1516,39,40,79,19.1898734177215,38.8717948717949
"9",24,"National Academy of Legal Studies & Research (NALSR) University Hyderabad","State Public University ",507,0,507,27,0,27,18.7777777777778,18.7777777777778
"10",27,"Osmania University, Hyderabad","State Public University ",804,0,804,40,4,44,18.2727272727273,20.1
"12",29,"Potti Sri Ramulu Telugu University, Hyderabad","State Public University ",1744,0,1744,46,35,81,21.5308641975309,37.9130434782609
"13",31,"Rayalaseema, University Kurnool","State Public University ",1364,0,1364,67,0,67,20.3582089552239,20.3582089552239
"14",32,"Satavahana University, Karimnagar","State Public University ",535,0,535,36,0,36,14.8611111111111,14.8611111111111
"15",33,"Sri Krishnadevaraya University, Anantapur","State Public University ",1153,0,1153,71,0,71,16.2394366197183,16.2394366197183
"16",35,"Sri Satya Sai Institute of Higher Learning, Anantpur","Deemed University-Private ",2388,0,2388,40,27,67,35.6417910447761,59.7
"17",35,"Sri Satya Sai Institute of Higher Learning, Anantpur","Deemed University-Private ",0,347,347,31,0,31,11.1935483870968,0
"18",36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi","Institute under State Legislature Act ",106,0,106,22,1,23,4.60869565217391,4.81818181818182
"19",36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi","Institute under State Legislature Act ",138,0,138,18,0,18,7.66666666666667,7.66666666666667
"20",37,"Sri Venkateswara University, Tirupathy","State Public University ",101,5,106,5,13,18,5.88888888888889,20.2
"21",38,"Sri Venkateswara Vedic University, Tirpupathi","State Public University ",172,0,172,16,0,16,10.75,10.75
"22",39,"Sri Venkateswara Veterinary University, Tirupathi","State Public University ",169,12,181,23,0,23,7.8695652173913,7.34782608695652
"23",40,"Telangana University, Nizamabad","State Public University ",96,0,96,16,0,16,6,6
"24",40,"Telangana University, Nizamabad","State Public University ",94,21,115,14,0,14,8.21428571428571,6.71428571428571
"25",41,"The English and Foreign Languages University, Hyderabad","Central University ",330,0,330,59,0,59,5.59322033898305,5.59322033898305
"26",42,"University of Hyderabad, Hyderabad","Central University ",0,205,205,12,0,12,17.0833333333333,0
"27",43,"Vignan's Foundation of Science, Technology & Research, Guntur","Deemed University-Private ",0,200,200,9,0,9,22.2222222222222,0
"28",44,"Vikram Simhapuri University, Nellore","State Public University ",3128,113,3241,93,0,93,34.8494623655914,33.6344086021505
"29",45,"Yogi Vemana University, Kadapa","State Public University ",0,420,420,16,0,16,26.25,0
"30",46,"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar","Deemed University-Government ",0,150,150,7,0,7,21.4285714285714,0
"31",47,"Rajiv Gandhi University, Itanagar","Central University ",124,0,124,16,0,16,7.75,7.75
