"","code","name","management","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"1",15,"POST GRADUATE INSTITUTE OF MANAGEMENT - AMRUT MODY SCHOOL OF MANAGEMENT","University",0,1,8,12,12,33,0,0.666666666666667,0.363636363636364
"2",17,"H. L. INSTITUTE OF COMMERCE","University",0,1,14,19,11,16,0,0.736842105263158,0.6875
"3",18,"AES INSTITUTE OF COMPUTER STUDIES","University",0,1,8,15,6,12,0,0.533333333333333,0.5
"4",19,"B.K. MAJUMDAR INSTITUTE OF BUSINESS ADMINISTRATION","University",1,1,8,19,7,14,1,0.421052631578947,0.5
"5",20,"Faculty of Engg., Tech. & Research (FETR), ISROLI (AFWA), Bardoli 084","Private Un-Aided",0,3,10,56,11,64,0,0.178571428571429,0.171875
"7",22,"VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA 267","Private Un-Aided",0,1,0,5,0,1,0,0,0
"8",23,"Shri Tapi Brahmcharyashram sabha college of Diploma Engg,Surat. 647","Private Un-Aided",0,1,9,39,17,40,0,0.230769230769231,0.425
"11",27,"R.H.PATEL INSTI. OF TECHNOLOGY,GOBLAJ,KHEDA 641","Private Un-Aided",0,1,9,40,1,4,0,0.225,0.25
"19",36,"B. PHARMACY COLLEGE, RAMPURA 220","Private Un-Aided",0,1,10,22,0,1,0,0.454545454545455,0
"21",37,"INDUKAKA IPCOWALA COLLEGE OF PHARMACY, NEW V.V.NAGAR 223","Private Un-Aided",1,1,2,5,9,13,1,0.4,0.692307692307692
"36",50,"A.V.Parekh Technical Institute,Rajkot  602","State Government",0,1,17,52,10,39,0,0.326923076923077,0.256410256410256
"45",57,"SARVAJANIK COLLEGE OF ENGG. & TECH. , SURAT 042 ","Private Un-Aided",1,1,51,121,34,60,1,0.421487603305785,0.566666666666667
"48",61,"Atmiya institue of Technology & Science for Diploma Studies Yogi Devine Soc, Rajkot  603 ","Private Un-Aided",0,1,27,113,2,25,0,0.238938053097345,0.08
"63",75,"SAL INSTITUTE OF TECH. & ENGG. RESEARCH, AHMEDABAD 067","Private Un-Aided",0,1,49,115,7,22,0,0.426086956521739,0.318181818181818
"71",83,"MERCHANT ENGG. COLLEGE, BASNA. VISNAGAR 065","Private Un-Aided",0,1,8,70,0,2,0,0.114285714285714,0
"76",87,"VJKM Institute of Management and Computer Studies,Vadu, TA- Kadi-(SFI) 816","Private Un-Aided",0,1,9,45,1,2,0,0.2,0.5
"81",91,"B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT 004","Private Un-Aided",0,2,23,74,1,1,0,0.310810810810811,1
"89",98,"SHRI B.M.SHAH COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, MODASA 252","Local Body",0,2,0,14,0,1,0,0,0
"94",104,"Anand Institute Of Management. Anand (SFI)  702 ","Private Un-Aided",0,1,2,3,0,5,0,0.666666666666667,0
"97",108,"GOVERNMENT ENGINEERING COLLEGE, MODASA 016","State Government",0,1,11,48,11,50,0,0.229166666666667,0.22
"98",110,"Sanjaybhai Rajguru College of Engineering,036","Private Un-Aided",0,1,5,53,2,26,0,0.0943396226415094,0.0769230769230769
"117",132,"Shree Sahajanand Institute of Management (SFI)-Bhavnagar 761 ","Private Un-Aided",1,1,8,16,1,3,1,0.5,0.333333333333333
"122",135,"GOVERNMENT ENGINEERING COLLEGE, VALSAD 019","State Government",0,1,7,35,3,21,0,0.2,0.142857142857143
"127",142,"S.S.Agrawal Institute of Management & Technology-Navsari-(SFI) 806 ","Private Un-Aided",0,1,2,7,0,1,0,0.285714285714286,0
"130",145,"SARDAR PATEL INSTITUTE OF TECH., PILUDARA, MEHSANA 068","Private Un-Aided",0,1,7,58,0,2,0,0.120689655172414,0
"142",156,"K.D.Polytechnic,Patan 631","State Government",0,1,11,46,0,2,0,0.239130434782609,0
"145",158,"Sarvodaya Polytechnic Institute, Limbdi 643","Private Un-Aided",0,1,0,13,1,1,0,0,1
"146",161,"L.J.Institute of Computer Applications (SFI)-Ahmedabad 517","Private Un-Aided",1,1,18,26,1,1,1,0.692307692307692,1
"153",166,"B and B Institute of Technology,Vallabh Vidhyanagar - GIA 604 ","Private Aided",1,1,13,40,2,10,1,0.325,0.2
"156",171,"Shri Jaysukhlal Vadhar Institute of Management Studies  Shri Bipin T. Vadhar College of Management (JVIMS-MCA College)(SFI)-Jamnagar 537 ","Private Un-Aided",0,1,1,11,0,1,0,0.0909090909090909,0
"169",183,"SIGMA INSTITUTE OF ENGG., BAKROL 050","Private Un-Aided",1,1,34,144,1,1,1,0.236111111111111,1
"182",197,"SHRI SADVIDHYA MANDAL INSTITUTE OF TECH., BHARUCH 045","Private Un-Aided",0,2,30,83,15,39,0,0.36144578313253,0.384615384615385
"184",200,"B.S.Patel Polytechnic,Mehsana. 644","Private Un-Aided",0,1,10,21,1,19,0,0.476190476190476,0.0526315789473684
"187",205,"Image Engg. And Technology Institute, Kheda 683","Private Un-Aided",0,2,8,47,0,6,0,0.170212765957447,0
"188",206,"R.C.Technical Institute,Ahmedabad 640","State Government",0,1,18,79,11,31,0,0.227848101265823,0.354838709677419
"192",208,"Sarvoday College of Management and Technology (MCA) (Integrated campus ) (SFI)-Limdi 532 ","Private Un-Aided",0,1,4,19,7,21,0,0.210526315789474,0.333333333333333
"205",220,"Arpit Institute of Engineering & Technology (Diploma),Hadala,Rajkot 680","Private Aided",1,1,52,83,6,34,1,0.626506024096386,0.176470588235294
"206",223,"Tolani Foundation,Gandhidham  Polytechnic(SFI) 653 ","Private Un-Aided",0,1,4,13,2,5,0,0.307692307692308,0.4
