"","code","name","type","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"1",15,"Jawaharlal Nehru Technological University, Kakinada","State Public University ",0,1,8,12,12,33,0,0.666666666666667,0.363636363636364
"2",17,"Jawaharlal Nehru Technological University, Hyderabad","State Public University ",0,1,14,19,11,16,0,0.736842105263158,0.6875
"3",18,"Jawarharlal Nehru Architecture and Fine Art University Hyderabad","State Public University ",0,1,8,15,6,12,0,0.533333333333333,0.5
"4",19,"Kakatiya University, Warangal","State Public University ",1,1,8,19,7,14,1,0.421052631578947,0.5
"5",20,"Koneru Lakshmaiah Education Foundation,Guntur","Deemed University-Private ",0,3,10,56,11,64,0,0.178571428571429,0.171875
"7",22,"Mahatma Gandhi University, Nalgonda","State Public University ",0,1,0,5,0,1,0,0,0
"8",23,"Maulana Azad National Urdu University, Hyderabad","Central University ",0,1,9,39,17,40,0,0.230769230769231,0.425
"10",27,"Osmania University, Hyderabad","State Public University ",0,1,9,40,1,4,0,0.225,0.25
"19",36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi","Institute under State Legislature Act ",0,1,10,22,0,1,0,0.454545454545455,0
"20",37,"Sri Venkateswara University, Tirupathy","State Public University ",1,1,2,5,9,13,1,0.4,0.692307692307692
"36",50,"Assam University, Silchar","Central University ",0,1,17,52,10,39,0,0.326923076923077,0.256410256410256
"44",57,"Aryabhatta Knoweledge University , Patna","State Public University ",1,1,51,121,34,60,1,0.421487603305785,0.566666666666667
"60",75,"Rajendra Agricultural University, Samastipur","State Public University ",0,1,49,115,7,22,0,0.426086956521739,0.318181818181818
"69",83,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","State Public University ",0,1,8,70,0,2,0,0.114285714285714,0
"73",87,"Indira Gandhi Krishi Vishwavidyalaya, Raipur","State Public University ",0,1,9,45,1,2,0,0.2,0.5
"79",91,"MATS University, Raipur","State Private University ",0,2,23,74,1,1,0,0.310810810810811,1
"86",98,"Delhi Technological University","State Public University ",0,2,0,14,0,1,0,0,0
"92",104,"Indira Gandhi National Open University","Central Open University ",0,1,2,3,0,5,0,0.666666666666667,0
"95",108,"Jamia Millia Islamia University","Central University ",0,1,11,48,11,50,0,0.229166666666667,0.22
"96",110,"National Institute of Fashion Technology, Hauz Khas","Others",0,1,5,53,2,26,0,0.0943396226415094,0.0769230769230769
"114",132,"Ganpat University, Ganpat Vidyanagar, Kherva","State Private University ",1,1,8,16,1,3,1,0.5,0.333333333333333
"119",135,"Gujarat Technological University, Ahmedbabd","State Public University ",0,1,7,35,3,21,0,0.2,0.142857142857143
"122",139,"Indian Institute of Technology, Gandhinagar","Institute of National Importance ",0,1,6,15,4,10,0,0.4,0.4
"125",142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh","State Public University ",0,1,2,7,0,1,0,0.285714285714286,0
"127",145,"Navsari Agricultural University","State Public University ",0,1,7,58,0,2,0,0.120689655172414,0
"141",158,"Central University of Haryana, Mahendergarh","Central University ",0,1,0,13,1,1,0,0,1
"142",161,"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat)","State Public University ",1,1,18,26,1,1,1,0.692307692307692,1
"149",166,"Lingaya's University, Faridabad","Deemed University-Private ",1,1,13,40,2,10,1,0.325,0.2
"153",171,"National Dairy  Research Institute, Karnal","Deemed University-Government ",0,1,1,11,0,1,0,0.0909090909090909,0
"166",183,"Himachal Pradesh University , Shimla","State Public University ",1,1,34,144,1,1,1,0.236111111111111,1
"180",200,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar","State Public University ",0,1,10,21,1,19,0,0.476190476190476,0.0526315789473684
"183",205,"Indian School of Mines, Dhanbad","Deemed University-Government ",0,2,8,47,0,6,0,0.170212765957447,0
"184",206,"Kolhan University,  West Singhbhum","State Public University ",0,1,18,79,11,31,0,0.227848101265823,0.354838709677419
"188",208,"Nilamber-Pitamber University, Palamu","State Public University ",0,1,4,19,7,21,0,0.210526315789474,0.333333333333333
"201",220,"Indian Institute of Science, Bangalore","Deemed University-Government ",1,1,52,83,6,34,1,0.626506024096386,0.176470588235294
"203",223,"Jain university,Bangalore","Deemed University-Private ",0,1,4,13,2,5,0,0.307692307692308,0.4
"205",224,"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore","Deemed University-Government ",1,1,24,46,9,9,1,0.521739130434783,1
"207",226,"Kannada University, Hampi, Kamalapura","State Public University ",0,1,4,19,0,7,0,0.210526315789474,0
"218",234,"Manipal Academy of Higher Education, Manipal","Deemed University-Private ",0,1,11,30,3,12,0,0.366666666666667,0.25
"219",235,"Mysore University, Mysore","State Public University ",0,1,6,23,1,1,0,0.260869565217391,1
"227",243,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore","Deemed University-Private ",0,1,12,67,17,59,0,0.17910447761194,0.288135593220339
"228",244,"Tumkur University, Tumkur","State Public University ",1,1,5,6,3,4,1,0.833333333333333,0.75
"229",245,"University  of Horticultural Sciences, Bagalkot","State Public University ",0,1,17,29,1,5,0,0.586206896551724,0.2
"233",248,"University of Agricultural Sciences, Bangalore","State Public University ",0,1,15,63,8,36,0,0.238095238095238,0.222222222222222
"237",251,"Calicut University, Thenhipalem, Malapuram","State Public University ",1,1,2,5,0,1,1,0.4,0
"238",252,"Central Univeristy of Kerala, Kasaragod","Central University ",0,1,3,43,1,6,0,0.0697674418604651,0.166666666666667
"239",253,"Cochin University of Science & Technology, Kochi","State Public University ",0,1,4,8,1,3,0,0.5,0.333333333333333
"240",255,"Indian Institute of Space Science and Technology, Thiruvananthapuram","Deemed University-Government ",0,1,0,32,0,20,0,0,0
"251",266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram","Institute of National Importance ",0,2,38,155,1,3,0,0.245161290322581,0.333333333333333
"253",268,"Awadesh Pratap Singh University, Rewa","State Public University ",0,1,1,32,9,33,0,0.03125,0.272727272727273
"255",270,"Devi Ahilya Vishwavidyalaya, Indore","State Public University ",0,1,8,52,7,32,0,0.153846153846154,0.21875
"276",291,"Vikram University, Ujjain","State Public University ",0,1,2,6,1,4,0,0.333333333333333,0.25
"282",300,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri","State Public University ",0,1,1,5,10,17,0,0.2,0.588235294117647
"285",304,"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai","Deemed University-Government ",0,1,1,1,3,7,0,1,0.428571428571429
"286",305,"Indian Institute of Science Education & Research (IISER), Pune,","Institute of National Importance ",0,1,2,25,2,7,0,0.08,0.285714285714286
"291",309,"International Institute for Population Sciences, Mumbai","Deemed University-Government ",0,1,7,14,1,9,0,0.5,0.111111111111111
"292",309,"International Institute for Population Sciences, Mumbai","Deemed University-Government ",0,1,9,56,12,22,0,0.160714285714286,0.545454545454545
"298",316,"Marathwada Agricultural University, Parbhani","State Public University ",1,1,2,4,2,3,1,0.5,0.666666666666667
"301",319,"Narsee Monjee Institute of Management Studies, Mumbai","Deemed University-Private ",0,1,64,174,17,43,0,0.367816091954023,0.395348837209302
"309",330,"Tata Institute of Fundamental Research, Mumbai","Deemed University-Government ",0,1,8,46,13,74,0,0.173913043478261,0.175675675675676
"311",332,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","State Public University ",0,1,3,6,1,1,0,0.5,1
"316",347,"Nagaland University","Central University ",0,1,17,101,16,33,0,0.168316831683168,0.484848484848485
"320",351,"Biju Patnaik University of Technology, Rourkela","State Public University ",0,1,34,101,17,32,0,0.336633663366337,0.53125
"322",353,"Centurion University of Technology and Management","State Private University ",0,1,5,38,4,14,0,0.131578947368421,0.285714285714286
"332",364,"Shri Jagannath Sanskrit Vishwavidyalaya, Puri","State Public University ",0,2,4,30,6,19,0,0.133333333333333,0.315789473684211
"339",372,"Central University of Punjab, Bathhinda","Central University ",0,1,34,70,10,33,0,0.485714285714286,0.303030303030303
"342",381,"Punjab Agricultural University, Ludhiana","State Public University ",0,1,7,85,14,44,0,0.0823529411764706,0.318181818181818
"347",387,"Kota University, Kota","State Public University ",0,1,2,20,3,10,0,0.1,0.3
"348",388,"Amity University, Jaipur,","State Private University ",1,1,3,9,0,1,1,0.333333333333333,0
"349",389,"Banasthali Vidyapith","Deemed University-Private ",0,1,4,10,0,1,0,0.4,0
"363",409,"Mahatma Jyoti Rao Phoole University, Jaipur","State Private University ",0,1,9,15,1,3,0,0.6,0.333333333333333
"366",415,"NIMS University, Jaipur","State Private University ",1,1,2,3,3,3,1,0.666666666666667,1
"375",422,"Rajasthan University, Jaipur","State Public University ",0,1,5,20,5,18,0,0.25,0.277777777777778
"381",432,"The Institute of Chartered Financial Analysts of India University, Sikkim","State Private University ",1,1,1,4,0,1,1,0.25,0
"384",435,"Alagappa University, Alagappa Nagar, Karaikudi","State Public University ",1,1,8,29,7,19,1,0.275862068965517,0.368421052631579
"385",436,"Amrita Vishwa Vidyapeetham, Coimbatore","Deemed University-Private ",0,1,16,25,7,15,0,0.64,0.466666666666667
"388",444,"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore","Deemed University-Government Aided ",0,1,1,2,4,9,0,0.5,0.444444444444444
"389",445,"B.S. Abdur Rahman Institute of Science & Technology","Deemed University-Private ",0,1,9,23,0,2,0,0.391304347826087,0
"391",447,"Bharathiar University, Coimbatore","State Public University ",0,1,1,4,13,36,0,0.25,0.361111111111111
"392",448,"Bharathidasan University, Tiruchirappalli","State Public University ",0,1,10,28,1,3,0,0.357142857142857,0.333333333333333
"403",470,"Periyar University, Salem","State Public University ",1,1,1,8,3,5,1,0.125,0.6
"404",471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur","Deemed University-Private ",0,1,12,35,18,22,0,0.342857142857143,0.818181818181818
"405",472,"Rajiv Gandhi National Instiute of Youth Development, Sriperumbudur","Institute of National Importance ",2,2,1,4,2,3,1,0.25,0.666666666666667
"412",484,"Tamil Univesity, Thanjavur","State Public University ",0,1,1,3,2,8,0,0.333333333333333,0.25
"423",495,"Tripura University, Agartala","Central University ",1,1,1,4,4,5,1,0.25,0.8
"424",496,"Aligarh Muslim University, Aligarh","Central University ",0,1,0,2,4,4,0,0,1
"427",502,"Bundelkhand University,  Jhansi","State Public University ",1,1,5,14,3,4,1,0.357142857142857,0.75
"431",506,"Choudhary Charan Singh University, Meerut","State Public University ",0,1,10,15,3,4,0,0.666666666666667,0.75
"435",510,"Dr. Ram Manohar Lohia  Awadh University, Faizabad","State Public University ",0,1,2,10,6,8,0,0.2,0.75
"436",511,"Dr. Ram Manohar Lohiya National Law University, Lucknow","State Public University ",0,1,0,2,1,5,0,0,0.2
"440",515,"IFTM University, Moradabad","State Private University ",1,1,4,10,1,1,1,0.4,1
"442",516,"Indian Institute of Information Technology, Allahabad","Deemed University-Government ",0,1,11,100,0,2,0,0.11,0
"443",517,"Indian Institute of Technology, Kanpur","Institute of National Importance ",0,1,6,26,4,20,0,0.230769230769231,0.2
"445",518,"Indian Veterinary Research Institute, Izatnagar","Deemed University-Government ",0,1,5,8,8,23,0,0.625,0.347826086956522
"447",519,"Integral University, Lucknow","State Private University ",0,1,2,5,1,1,0,0.4,1
"449",520,"Invertis University, Bareily","State Private University ",1,1,3,8,2,3,1,0.375,0.666666666666667
"451",521,"Jagadguru Rambhadracharya Handicapped University","State Private University ",0,2,10,17,5,5,0,0.588235294117647,1
"454",523,"KING GEORGE MEDICAL UNIVERSITY","State Public University ",0,1,6,23,0,1,0,0.260869565217391,0
