latitude,longitude,name,year,status
12.8996016,74.8470579,A J Institute of Medical Sciences and Research Centre,2002,Recognized
11.9138598,79.8144722,Aarupadai Veedu Medical College,1999,Recognized
11.8744775,75.3703662,Academy of Medical Sceiences,1995,Recognized
32.7266016,74.8570259,Acharya Shri Chander College of Medical Sciences,1995,Recognized
20.9042201,74.7748979,ACPM Medical College,1990,Recognized
13.0576132,80.1281498,ACS Medical College and Hospital,2008,Recognized
14.4425987,79.986456,ACSR Government Medical College ,2014,Recognized
30.2222181,75.0586628,Adesh Institute of Medical Sciences and Research,2006,Recognized
12.9820426,76.7322092,Adichunchanagiri Institute of Medical Sciences ,1985,Recognized
23.8603833,91.2927121,Agartala Government Medical College,2005,Recognized
23.022505,72.5713621,Ahmedabad Municipal Coporation Medical Education Trust Medical College,2009,Recognized
16.8250586,75.6692091,Al-Ameen Medical College,1984,Recognized
9.8929802,76.7221082,Al-Azhar Medical College and Super Speciality Hospital,2014,Not Recognized
28.5666453,77.2090785,All India Institute of Medical Sciences,1956,Recognized
16.7373939,81.1464943,Alluri Sitaram Raju Academy of Medical Sciences,2000,Recognized
10.5617996,76.1675053,Amala Institute of Medical Sciences,2002,Recognized
10.0320325,76.2930743,Amrita School of Medicine,2000,Recognized
11.623377,92.726483,Andaman and Nicobar Islands Institute of Medical Sciences,2015,Recognized
17.7064704,83.304863,Andhra Medical College,1923,Recognized
11.664325,78.1460142,Annapoorna Medical College and Hospital,2011,Not Recognized
24.7711992,84.9603076,Anugrah Narayan Magadh Medical College,1970,Recognized
17.4150947,78.413745,Apollo Institute of Medical Sciences and Research,2012,Recognized
18.5204303,73.8567437,Armed Forces Medical College,1962,Recognized
28.6077869,77.1393697,Army College of Medical Sciences,2008,Recognized
17.6599188,75.9063906,Ashwini Rural Medical College,2012,Recognized
27.4869853,94.9441817,Assam Medial College,1947,Recognized
8.8932118,76.6141396,Azeezia Instt of Medical Science,2008,Recognized
23.0523789,72.602613,B J Medical College,1946,Recognized
18.5204303,73.8567437,B. J. Govt. Medical College,1964,Recognized
17.3999144,73.5474498,B.K.L. Walawalkar Rural Medical College,2015,Recognized
12.9590714,77.5747338,Bangalore Medical College and Research Institute,1955,Recognized
23.2285311,87.0438535,Bankura Sammilani Medical College,1956,Recognized
14.223099,76.414767,Basaveswara Medical College and Hospital,1999,Recognized
15.8732947,74.5111074,Belgaum Institute of Medical Sciences,2006,Recognized
12.9715987,77.5945627,BGS Global Institute of Medical Sciences,2013,Not Recognized
16.867,74.567,Bharati Vidyapeeth Deemed University Medical College and Hospital,2005,Recognized
18.4567801,73.8562753,Bharati Vidyapeeth University Medical College,1989,Recognized
17.9740244,78.0990646,Bhaskar Medical College,2005,Recognized
17.9202897,77.5151432,Bidar Institute of Medical Sciences,2007,Recognized
28.9287735,77.091281,BPS Government Medical College for Women,2012,Recognized
26.8134236,83.400296,BRD Medical College,1972,Recognized
23.8211175,78.755631,Bundelkhand Medical College,2009,Recognized
23.2484625,87.8527952,Burdwan Medical College,1969,Recognized
22.5468169,88.3702826,Calcutta National Medical College,1948,Recognized
26.8466937,80.946166,Career Instt. Of Medical Sciences and Hospital,2011,Not Recognized
18.4532394,79.1650826,Chalmeda Anand Rao Insttitute Of Medical Sciences,2003,Recognized
12.6698944,79.9776683,Chengalpattu Medical College,1965,Recognized
